event_name,event_date,event_type
Chicago Cubs Home Game,3/18/2025,sports
Chicago Cubs Home Game,3/19/2025,sports
Chicago Cubs Home Game,4/8/2025,sports
Chicago Cubs Home Game,4/9/2025,sports
Chicago Cubs Home Game,5/28/2025,sports
Chicago Cubs Home Game,5/30/2025,sports
Chicago Bulls Home Game,3/4/2025,sports
Chicago Bulls Home Game,3/10/2025,sports
Chicago Bulls Home Game,3/27/2025,sports
Chicago Bulls Home Game,3/29/2025,sports
Chicago Bulls Home Game,4/11/2025,sports
Chicago Bulls Home Game,4/16/2025,sports
